,Unnamed: 0.1,Unnamed: 0,Number,Name,Start,End,Url,Reactor,Endt,duration
37,37,37,4.0,Bugey,2022-04-09,2022-11-25,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-425,Bugey_4,,230.0
38,38,38,3.0,Tricastin,2022-03-12,2022-11-22,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-quatrieme-visite-decennale-du-reacteur-3,Tricastin_3,,255.0
39,39,39,3.0,Chinon,2022-02-19,2022-11-21,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-controle-du-reacteur-b3,Chinon_3,,275.0
40,40,40,4.0,Tricastin,2022-08-13,2022-11-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-424,Tricastin_4,,89.0
41,41,41,2.0,Paluel,2022-04-20,2022-10-17,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-245,Paluel_2,,180.0
42,42,42,2.0,Gravelines,2022-07-02,2022-09-16,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-244,Gravelines_2,,76.0
43,43,43,1.0,Saint-Laurent-des-Eaux,2022-08-20,2022-10-02,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-144,Saint-Laurent-des-Eaux_1,,43.0
44,44,44,3.0,Blayais,2022-05-07,2022-09-12,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-34,Blayais_3,,128.0
45,45,45,3.0,Bugey,2022-04-30,2022-09-09,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-325,Bugey_3,,132.0
46,46,46,1.0,Nogent-sur-Seine,2022-05-22,2022-08-10,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-du-combustible-du-reacteur-12,Nogent-sur-Seine_1,,80.0
47,47,47,2.0,Chinon,2022-05-14,2022-08-21,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-243,Chinon_2,,99.0
48,48,48,4.0,Dampierre-en-Burly,2022-04-11,2022-08-16,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-423,Dampierre-en-Burly_4,,127.0
