,Unnamed: 0,Number,Name,Start,End,Url,Reactor
438,438,1.0,Civaux,29/03/2013,09/08/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-simple-rechargement-du-reacteur-n-1,Civaux_1
439,439,4.0,Chinon,12/04/2013,23/05/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-b43,Chinon_4
440,440,4.0,Dampierre-en-Burly,25/05/2013,26/06/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-rechargement-en-combustible-du-reacteur-n-4,Dampierre-en-Burly_4
441,441,1.0,Fessenheim,12/04/2013,24/07/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-136,Fessenheim_1
442,442,4.0,Paluel,05/04/2013,17/07/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-visite-partielle-du-reacteur-n-4,Paluel_4
443,443,2.0,Bugey,15/03/2013,27/07/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-29,Bugey_2
444,444,4.0,Blayais,21/03/2013,22/07/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-44,Blayais_4
445,445,3.0,Tricastin,14/06/2013,23/07/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-338,Tricastin_3
446,446,1.0,Belleville-sur-Loire,26/04/2013,21/06/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-rechargement-en-combustible-du-reacteur-n-1,Belleville-sur-Loire_1
447,447,4.0,Cattenom,08/02/2013,02/07/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-visite-decennale-du-reacteur-n-4,Cattenom_4
448,448,1.0,Penly,17/05/2013,01/07/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-visite-partielle-du-reacteur-n-13,Penly_1
449,449,5.0,Gravelines,03/05/2013,23/06/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-58,Gravelines_5
450,450,4.0,Gravelines,05/02/2013,05/05/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-4-de-la-centrale-nucleaire-de-Gravelines-Nord,Gravelines_4
451,451,2.0,Chinon,30/11/2012,01/05/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-217,Chinon_2
452,452,2.0,Flamanville,15/02/2013,13/05/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-visite-partielle-du-reacteur-n-2,Flamanville_2
453,453,2.0,Dampierre-en-Burly,29/03/2013,04/05/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-rechargement-en-combustible-du-reacteur-n-2,Dampierre-en-Burly_2
454,454,2.0,Tricastin,16/03/2013,30/05/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-2108,Tricastin_2
455,455,2.0,Tricastin,16/03/2013,30/05/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-282,Tricastin_2
456,456,1.0,Blayais,19/04/2013,03/06/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-16,Blayais_1
457,457,4.0,Cruas-Meysse,12/04/2013,25/05/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-417,Cruas-Meysse_4
458,458,1.0,Gravelines,01/02/2013,16/04/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-1-de-la-centrale-nucleaire-de-Gravelines-Nord2,Gravelines_1
459,459,2.0,Fessenheim,,,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/fessenheim-3e-reexamen-de-surete-decennal-du-reacteur-2,Fessenheim_2
460,460,2.0,Chooz,01/02/2013,16/04/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-renouvellement-du-combustible-du-reacteur-n-1,Chooz_2
461,461,5.0,Bugey,08/02/2013,10/04/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-52,Bugey_5
462,462,6.0,Gravelines,12/10/2012,07/01/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-6-de-la-centrale-nucleaire-de-Gravelines-Nord,Gravelines_6
463,463,2.0,Nogent-sur-Seine,29/11/2012,08/02/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-257,Nogent-sur-Seine_2
464,464,2.0,Cattenom,28/09/2012,27/01/2013,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-213,Cattenom_2
465,465,3.0,Gravelines,27/04/2012,30/10/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-troisieme-visite-decennale-du-reacteur-n-3,Gravelines_3
466,466,5.0,Gravelines,18/05/2012,10/09/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-57,Gravelines_5
467,467,2.0,Paluel,03/08/2012,18/11/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-visite-partielle-du-reacteur-n-22,Paluel_2
468,468,4.0,Tricastin,21/09/2012,26/11/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-449,Tricastin_4
469,469,4.0,Tricastin,21/09/2012,26/11/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-432,Tricastin_4
470,470,3.0,Chinon,07/09/2012,20/10/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-B32,Chinon_3
471,471,3.0,Cruas-Meysse,03/08/2012,24/11/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-319,Cruas-Meysse_3
472,472,1.0,Flamanville,20/07/2012,08/11/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/Arret-pour-visite-partielle-du-reacteur-n-1,Flamanville_1
473,473,2.0,Golfech,28/09/2012,16/11/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-248,Golfech_2
474,474,1.0,Nogent-sur-Seine,21/06/2012,03/11/2012,https://www.asn.fr/l-asn-controle/actualites-du-controle/installations-nucleaires/arret-de-reacteurs-de-centrales-nucleaires/arret-pour-maintenance-et-rechargement-en-combustible-du-reacteur-n-148,Nogent-sur-Seine_1
